wavelengths,flambda
300,1.8499845731832534e-14
301,1.8346884532184248e-14
302,1.846854168399743e-14
303,1.8391900122586624e-14
304,1.832674048769085e-14
305,1.785651207765664e-14
306,1.754911717791915e-14
307,1.803898290152579e-14
308,1.7731969540364087e-14
309,1.777509532250828e-14
310,1.809846118856652e-14
311,1.789678824356294e-14
312,1.77393081964077e-14
313,1.807510983542043e-14
314,1.8363618575656562e-14
315,1.9078210520400545e-14
316,1.7437129644386018e-14
317,1.752311890090355e-14
318,1.7398200786575458e-14
319,1.715109494335224e-14
320,1.69361337251389e-14
321,1.7719271459638744e-14
322,1.6824211768548485e-14
323,1.7341208461817588e-14
324,1.792859902231901e-14
325,1.734389711646882e-14
326,1.7657605287327498e-14
327,1.7754074931598627e-14
328,1.650938878966368e-14
329,1.6263791216122856e-14
330,1.6508035520027693e-14
331,1.691603141142723e-14
332,1.6566708999135123e-14
333,1.6755177132492395e-14
334,1.6682547687667583e-14
335,1.6682511918426097e-14
336,1.661629709090667e-14
337,1.6352487011912366e-14
338,1.6631797095547936e-14
339,1.6194082926018897e-14
340,1.6147213296599813e-14
341,1.602066768178439e-14
342,1.6515243022185877e-14
343,1.578223587962003e-14
344,1.5930988231854188e-14
345,1.5568538507938978e-14
346,1.563863429815897e-14
347,1.5403493266210754e-14
348,1.5612916213534964e-14
349,1.5294611695146123e-14
350,1.531358131621093e-14
351,1.4695643823485725e-14
352,1.472261979310177e-14
353,1.4703507095071045e-14
354,1.4815226359293075e-14
355,1.443629297659591e-14
356,1.4418837586753745e-14
357,1.460016379489554e-14
358,1.4115734995993835e-14
359,1.4226971375455886e-14
360,1.405687670913876e-14
361,1.3636510621727446e-14
362,1.3171122982373505e-14
363,1.4128051538143392e-14
364,1.3039438519865476e-14
365,1.334957572811642e-14
366,1.3649137163969825e-14
367,1.325708839273005e-14
368,1.341172478518764e-14
369,1.361561542316297e-14
370,1.3735525843683885e-14
371,1.4359609684403377e-14
372,1.4598679371374128e-14
373,1.5060537778902056e-14
374,1.633312392919128e-14
375,1.3843268760561408e-14
376,1.6750920592756294e-14
377,1.433483352313834e-14
378,1.7823544760092725e-14
379,1.7163983793365476e-14
380,1.536511287010289e-14
381,1.7932819792813628e-14
382,1.7207711691074577e-14
383,1.5405484420653132e-14
384,1.5930338423967305e-14
385,1.7384292513180052e-14
386,1.6956301615793284e-14
387,1.637618413439276e-14
388,1.6107420015453496e-14
389,1.3184888178802994e-14
390,1.703169125375229e-14
391,1.6746658091479946e-14
392,1.599207017322126e-14
393,1.5035421809842964e-14
394,1.6154015414021232e-14
395,1.6403672796470018e-14
396,1.5374210180519258e-14
397,1.1977813394284098e-14
398,1.5196431088824214e-14
399,1.5308859776335596e-14
400,1.5123372413101643e-14
401,1.4601075910553278e-14
402,1.471479825229818e-14
403,1.4231841953837393e-14
404,1.468772689803819e-14
405,1.4688442282867782e-14
406,1.4446773364349496e-14
407,1.4179583092035347e-14
408,1.3942838405760786e-14
409,1.3732688150526485e-14
410,1.0782315920924176e-14
411,1.3300315521058438e-14
412,1.3211959533062988e-14
413,1.3080143916669532e-14
414,1.2913870597650499e-14
415,1.3321395527370551e-14
416,1.3274227820939138e-14
417,1.3052482369925124e-14
418,1.2807862488984751e-14
419,1.2934706180812508e-14
420,1.2926515024513625e-14
421,1.2743275161952656e-14
422,1.2470797003439731e-14
423,1.2336447732441457e-14
424,1.2429084106333994e-14
425,1.2447105842499587e-14
426,1.2233635009347908e-14
427,1.1882369134935395e-14
428,1.2057483418140192e-14
429,1.2128491324017919e-14
430,1.2201716922867399e-14
431,1.2058294187613736e-14
432,1.1932678573076788e-14
433,1.1599279434783455e-14
434,9.17718313259689e-15
435,1.1163329881167423e-14
436,1.166115426100333e-14
437,1.1666656762650981e-14
438,1.1455010160814772e-14
439,1.0990147137002533e-14
440,1.1435837847381576e-14
441,1.1264556834555365e-14
442,1.0587856439619032e-14
443,9.861454683646459e-15
444,1.0409093693783289e-14
445,1.0825286703021955e-14
446,1.0838360360782835e-14
447,1.0112244758742103e-14
448,1.0300206161178413e-14
449,1.0681774544664595e-14
450,1.0727183596723253e-14
451,1.0775740342032132e-14
452,1.064961799657422e-14
453,1.0365789065431696e-14
454,1.0471296404716729e-14
455,1.0196576707071073e-14
456,1.0377425991993135e-14
457,1.0340768481016549e-14
458,1.025289537778108e-14
459,1.0283776156258672e-14
460,1.0231642486801807e-14
461,1.0174346123491351e-14
462,1.0092547829767205e-14
463,1.001550684515988e-14
464,1.0018940692341944e-14
465,9.994331454203816e-15
466,1.0084648788940409e-14
467,9.973102409385528e-15
468,1.0112012258672484e-14
469,9.933887397643132e-15
470,9.834568137134113e-15
471,9.643649810735472e-15
472,9.72501291202161e-15
473,9.4238657064626e-15
474,9.519619965904128e-15
475,9.651077889882783e-15
476,9.255935079255003e-15
477,9.318149713268937e-15
478,9.187496597223577e-15
479,9.365281650458872e-15
480,9.164055820973788e-15
481,9.215170067048481e-15
482,8.926249980535325e-15
483,9.105233303360191e-15
484,9.305523171026553e-15
485,8.866038424044264e-15
486,7.030623259069773e-15
487,8.398760976432138e-15
488,8.543733712149926e-15
489,8.684771831304932e-15
490,8.678804329518045e-15
491,8.859725152923072e-15
492,8.15986417412854e-15
493,8.709035300108756e-15
494,8.823973796063972e-15
495,8.602371422015876e-15
496,8.672729520006718e-15
497,8.386211934212962e-15
498,8.449899068667816e-15
499,8.44949964547129e-15
500,8.144095900176178e-15
501,8.079592034707533e-15
502,8.052884334402588e-15
503,8.027833942286207e-15
504,8.024888941404365e-15
505,7.950655842253208e-15
506,7.976600465406584e-15
507,8.003320088792024e-15
508,8.016232784966244e-15
509,7.944962571317667e-15
510,7.889150631528625e-15
511,7.782182714883167e-15
512,7.814840032354257e-15
513,7.729196545171032e-15
514,7.766164056240444e-15
515,7.705678268898037e-15
516,7.585004771225553e-15
517,7.595097658863114e-15
518,7.653270368589825e-15
519,7.614383241560993e-15
520,7.564759380547963e-15
521,7.417700105743853e-15
522,7.480063778263952e-15
523,7.358859703509516e-15
524,7.324932577965888e-15
525,7.212641005880181e-15
526,7.176454456583077e-15
527,7.093988470351308e-15
528,7.022807679806427e-15
529,7.0422721087117085e-15
530,7.014223061851267e-15
531,7.023624410820218e-15
532,6.901245912637196e-15
533,6.823519350901506e-15
534,6.856319745338516e-15
535,6.7512058677097635e-15
536,6.7382216330525815e-15
537,6.696830659120162e-15
538,6.631098716360711e-15
539,6.6296739082417635e-15
540,6.562851003617177e-15
541,6.549240807234098e-15
542,6.4212584612192335e-15
543,6.394020183832337e-15
544,6.368015945276494e-15
545,6.186981852606782e-15
546,6.236450713573399e-15
547,6.244677639113761e-15
548,6.164637999762375e-15
549,6.137268568490052e-15
550,6.2051645503590335e-15
551,6.026980073927215e-15
552,6.037567769405247e-15
553,5.963316785633347e-15
554,5.9859825616510715e-15
555,5.950988320403296e-15
556,5.9882241007838084e-15
557,5.913627347677605e-15
558,5.9017996518282726e-15
559,5.895402919143626e-15
560,5.904458498778272e-15
561,5.8734107971737725e-15
562,5.822558858869934e-15
563,5.731544023924484e-15
564,5.58429397983248e-15
565,5.603287447058274e-15
566,5.578708016621378e-15
567,5.5265922317852515e-15
568,5.4804618333567534e-15
569,5.4882237587578785e-15
570,5.385095074031255e-15
571,5.355692757534828e-15
572,5.396898923719602e-15
573,5.3859058435047985e-15
574,5.26344984529857e-15
575,5.277590618763599e-15
576,5.318194669383463e-15
577,5.187785976488216e-15
578,4.764045657297303e-15
579,5.046759780413704e-15
580,5.030985544921095e-15
581,5.112330761586495e-15
582,5.101015758198374e-15
583,5.072889211314726e-15
584,5.042711894586236e-15
585,5.002155536288345e-15
586,5.063911131703288e-15
587,4.89216511873784e-15
588,4.807558939557526e-15
589,4.31182706034819e-15
590,4.683463517783473e-15
591,4.860306647659796e-15
592,4.807690093442953e-15
593,4.80302816897008e-15
594,4.722714298767349e-15
595,4.6199015756737966e-15
596,4.703655254598842e-15
597,4.686688711056904e-15
598,4.625672346632545e-15
599,4.593468106220196e-15
600,4.5491977083486485e-15
601,4.577044062840705e-15
602,4.577848870774001e-15
603,4.5336261652244256e-15
604,4.472496531535381e-15
605,4.551212708952013e-15
606,4.518281160629575e-15
607,4.500819809247168e-15
608,4.467870376303988e-15
609,4.484449419729892e-15
610,4.4352905588561014e-15
611,4.449729409333463e-15
612,4.4392132523383904e-15
613,4.412541321274924e-15
614,4.338087645134638e-15
615,4.319600908829809e-15
616,4.3187424470342924e-15
617,4.2732022410902094e-15
618,4.243883386157236e-15
619,4.272820702514425e-15
620,4.219709340457111e-15
621,4.2365506916538694e-15
622,4.2474185795234935e-15
623,4.228747035471017e-15
624,4.2153574160770645e-15
625,4.19386010194768e-15
626,4.1855377917633725e-15
627,4.061341023805122e-15
628,3.815189027021364e-15
629,4.02133908875017e-15
630,4.043110633730899e-15
631,4.041208902392222e-15
632,4.0317538995610496e-15
633,4.057871407381579e-15
634,3.998470620364059e-15
635,3.895067704786092e-15
636,4.010119470005994e-15
637,3.866315196176548e-15
638,3.89609905124876e-15
639,3.9420804111710935e-15
640,3.898966552107394e-15
