wavelength,transmission
300,0.0
301,5.73378e-06
302,1.60438e-06
303,0.0
304,4.0500000000000004e-07
305,0.0
306,0.0
307,0.0
308,6.160000000000001e-07
309,0.0
310,6.10104e-06
311,0.0
312,7.011349999999999e-06
313,0.0
314,7.648779999999999e-06
315,0.0
316,0.0
317,0.0
318,9.50023e-06
319,0.0
320,0.0
321,0.0
322,0.0
323,2.15766e-06
324,0.0
325,0.0
326,2.33896e-06
327,0.0
328,0.0
329,0.0
330,3.96101e-06
331,3.05145e-06
332,0.0
333,0.0
334,0.0
335,6.79737e-06
336,0.0
337,0.0
338,7.6028e-06
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,1.0902740000000001e-05
345,0.0
346,0.0
347,0.0
348,1.4680520000000001e-05
349,0.0
350,0.0
351,0.0
352,0.0
353,2.14345e-06
354,0.0
355,0.0
356,0.0
357,0.0
358,9.29945e-06
359,8.489669999999999e-06
360,1.138558e-05
361,0.0
362,0.0
363,0.0
364,0.0
365,8.085399999999999e-06
366,1.54528e-06
367,0.0
368,0.0
369,2.44776e-06
370,0.0
371,4.8536599999999995e-06
372,0.0
373,0.0
374,2.3304599999999997e-06
375,0.0
376,9.518649999999999e-06
377,8.26063e-06
378,0.0
379,0.0
380,1.430242e-05
381,0.0
382,6.0878500000000005e-06
383,0.0
384,8.774800000000001e-06
385,0.0
386,0.0
387,0.0
388,8.918879999999999e-06
389,0.0
390,0.0
391,4.43768e-06
392,1.11336e-06
393,2.05507e-06
394,0.0
395,2.14235e-06
396,0.0
397,1.24296e-06
398,0.0
399,0.0
400,1.740964e-05
401,0.0
402,4.26461e-06
403,0.0
404,0.0
405,0.0
406,0.0
407,1.6021e-06
408,5.38e-07
409,0.0
410,0.0
411,1.2353599999999998e-06
412,0.0
413,3.77974e-06
414,4.10944e-06
415,6.49338e-06
416,0.0
417,0.0
418,3.65686e-06
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,8.87659e-06
428,3.46e-07
429,5.625670000000001e-06
430,0.0
431,2.35709e-06
432,5.48047e-06
433,0.0
434,0.0
435,4.51873e-06
436,0.0
437,0.0
438,0.0
439,5.83048e-06
440,0.0
441,2.9973e-06
442,9.01773e-06
443,1.2735030000000001e-05
444,0.0
445,5.63527e-06
446,1.141779e-05
447,0.0
448,0.0
449,1.567526e-05
450,0.0
451,1.052451e-05
452,0.0
453,0.0
454,0.0
455,0.0
456,1.99552e-06
457,2.05486e-06
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,2.17138e-06
464,0.0
465,0.0
466,5.29243e-06
467,5.33099e-06
468,2.3925e-06
469,0.0
470,2.6e-07
471,1.78234e-06
472,0.0
473,0.0
474,0.0
475,2.69668e-06
476,8.556100000000001e-06
477,0.0
478,3.5524e-06
479,1.727995e-05
480,1.225569e-05
481,0.0
482,0.0
483,9.74426e-06
484,3.7200100000000002e-06
485,0.0
486,1.131411e-05
487,7.58407e-06
488,0.0
489,1.67962e-06
490,0.0
491,0.0
492,0.0
493,1.1016e-06
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,7.88942e-06
501,5.00652e-06
502,0.0
503,7.21744e-06
504,0.0
505,0.0
506,1.445366e-05
507,5.84344e-06
508,0.0
509,0.0
510,0.0
511,0.0
512,0.0
513,0.0
514,8.77781e-06
515,5.22198e-06
516,0.0
517,0.0
518,3.82336e-06
519,0.0
520,0.0
521,2.41648e-06
522,0.0
523,5.97218e-06
524,0.0
525,5.96661e-06
526,0.0
527,0.0
528,0.0
529,0.0
530,8.0726e-06
531,1.020514e-05
532,4.47813e-06
533,0.0
534,1.5750000000000002e-06
535,1.0900000000000001e-07
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,1.0769149999999998e-05
542,0.0
543,1.79781e-06
544,1.287848e-05
545,0.0
546,1.43373e-05
547,4.40266e-06
548,0.0
549,5.93896e-06
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,0.0
556,1.283534e-05
557,1.52368e-06
558,0.0
559,7.57343e-06
560,0.0
561,1.134061e-05
562,6.2e-08
563,6.05807e-06
564,9.79228e-06
565,0.0
566,0.0
567,0.0
568,0.0
569,0.0
570,0.0
571,0.0
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,1.000864e-05
580,3.74473e-06
581,0.0
582,0.0
583,1.90141e-06
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,7.6146799999999996e-06
590,8.9611e-06
591,1.054557e-05
592,1.69099e-06
593,0.0
594,4.57e-07
595,0.0
596,3.42596e-06
597,0.0
598,0.0
599,0.0
600,1.13479e-06
601,3.93527e-06
602,0.0
603,0.0
604,0.0
605,0.0
606,0.0
607,0.0
608,1.374678e-05
609,6.63195e-06
610,1.7958500000000001e-06
611,0.0
612,0.0
613,0.0
614,0.0
615,4.987220000000001e-06
616,4.86363e-06
617,0.0
618,0.0
619,3.8728500000000005e-06
620,0.0
621,0.0
622,2.34971e-06
623,0.0
624,2.5e-07
625,0.0
626,0.0
