wavelength,transmission
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,1.0131090000000001e-05
308,0.0
309,4.17459e-06
310,1.811201e-05
311,6.783938e-05
312,0.00016809687
313,0.00038829270999999997
314,0.00081571333
315,0.00156836003
316,0.0027988174599999998
317,0.00473890275
318,0.00758494794
319,0.01149823904
320,0.01664429188
321,0.02334327698
322,0.0316392827
323,0.041557679179999994
324,0.05308748722
325,0.06623749256
326,0.08104710579
327,0.09731628417999999
328,0.1146530819
329,0.1330919456
330,0.1527621555
331,0.17290292740000002
332,0.1936421585
333,0.21488515849999998
334,0.23624176030000002
335,0.2575052452
336,0.2790300751
337,0.2999902916
338,0.32058052060000003
339,0.3411233902
340,0.36062385560000004
341,0.3794564438
342,0.3979001236
343,0.41557769780000003
344,0.4325074768
345,0.4486132431
346,0.4645756531
347,0.4792475128
348,0.49344108579999996
349,0.507262001
350,0.520071373
351,0.531930809
352,0.5435365295
353,0.5542895126
354,0.5641975403
355,0.5735425948999999
356,0.5823005295
357,0.5907337188999999
358,0.5982571411
359,0.6049622345
360,0.6116950989
361,0.6173461533
362,0.62229496
363,0.6270090866
364,0.6307875061
365,0.6340652084
366,0.6365251541
367,0.6386858368
368,0.6400997925
369,0.6407866669000001
370,0.6403266906999999
371,0.6394550705000001
372,0.6375390244
373,0.6344900131
374,0.6305877686
375,0.6255573654
376,0.6192370605
377,0.6119347382
378,0.6030610657
379,0.5930774307
380,0.5812922287
381,0.5681710815000001
382,0.5528996657999999
383,0.536580925
384,0.5185572052
385,0.4989732361
386,0.4775178146
387,0.45506912229999996
388,0.4310889435
389,0.4058543015
390,0.37951084139999997
391,0.35238395689999996
392,0.32499481199999997
393,0.2971320152
394,0.2694939423
395,0.2424505234
396,0.21612386699999997
397,0.1907090569
398,0.16689119340000003
399,0.1445932579
400,0.1240305614
401,0.10511322979999999
402,0.08836316109
403,0.07342841625
404,0.060405383109999995
405,0.049221229549999995
406,0.03974035263
407,0.03178602457
408,0.02516302586
409,0.01970628142
410,0.0153178215
411,0.0118116641
412,0.008997414110000001
413,0.00679432094
414,0.00514259756
415,0.00382284015
416,0.00282407731
417,0.00209411562
418,0.00152422801
419,0.00112746552
420,0.0008209134599999999
421,0.0005965177
422,0.00042660326
423,0.00031105801
424,0.00022534642
425,0.00015592914
426,0.00011399507999999999
427,8.662421999999999e-05
428,6.564208e-05
429,3.692987e-05
430,2.826202e-05
431,2.5116959999999997e-05
432,8.33722e-06
433,3.05481e-05
434,5.0477e-06
435,1.9287e-05
436,6.1068600000000005e-06
437,0.0
438,4.23847e-06
439,4.38545e-06
440,0.0
441,0.0
442,0.0
443,0.0
444,9.13272e-06
445,0.0
446,0.0
447,0.0
448,3.6064000000000003e-06
449,5.18591e-06
450,0.0
451,0.0
452,0.0
453,3.95981e-06
454,3.2856900000000003e-06
455,0.0
456,1.355802e-05
457,0.0
458,0.0
459,6.41879e-06
460,7.17402e-06
461,7.64579e-06
462,0.0
463,0.0
464,7.447969999999999e-06
465,8.23232e-06
466,1.5070599999999999e-06
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,0.0
478,0.0
479,5.00177e-06
480,2.1583e-06
481,7.948239999999999e-06
482,3.6826200000000002e-06
483,1.58213e-06
484,2.3407e-06
485,0.0
486,0.0
487,3.5599999999999996e-07
488,0.0
489,0.0
490,0.0
491,0.0
492,0.0
493,4.78653e-06
494,0.0
495,0.0
