wavelength,transmission
300,0.7
301,0.7
302,0.7
303,0.7
304,0.7
305,0.7
306,0.7
307,0.7
308,0.7
309,0.7
310,0.7
311,0.7
312,0.7
313,0.7
314,0.7
315,0.7
316,0.7
317,0.7
318,0.7
319,0.7
320,0.7
321,0.7
322,0.7
323,0.7
324,0.7
325,0.7
326,0.7
327,0.7
328,0.7
329,0.7
330,0.7
331,0.7
332,0.7
333,0.7
334,0.7
335,0.7
336,0.7
337,0.7
338,0.7
339,0.7
340,0.7
341,0.7
342,0.7
343,0.7
344,0.7
345,0.7
346,0.7
347,0.7
348,0.7
349,0.7
350,0.7
351,0.7
352,0.7
353,0.7
354,0.7
355,0.7
356,0.7
357,0.7
358,0.7
359,0.7
360,0.7
361,0.7
362,0.7
363,0.7
364,0.7
365,0.7
366,0.7
367,0.7
368,0.7
369,0.7
370,0.7
371,0.7
372,0.7
373,0.7
374,0.7
375,0.7
376,0.7
377,0.7
378,0.7
379,0.7
380,0.7
381,0.7
382,0.7
383,0.7
384,0.7
385,0.7
386,0.7
387,0.7
388,0.7
389,0.7
390,0.7
391,0.7
392,0.7
393,0.7
394,0.7
395,0.7
396,0.7
397,0.7
398,0.7
399,0.7
400,0.7
401,0.7
402,0.7
403,0.7
404,0.7
405,0.7
406,0.7
407,0.7
408,0.7
409,0.7
410,0.7
411,0.7
412,0.7
413,0.7
414,0.7
415,0.7
416,0.7
417,0.7
418,0.7
419,0.7
420,0.7
421,0.7
422,0.7
423,0.7
424,0.7
425,0.7
426,0.7
427,0.7
428,0.7
429,0.7
430,0.7
431,0.7
432,0.7
433,0.7
434,0.7
435,0.7
436,0.7
437,0.7
438,0.7
439,0.7
440,0.7
441,0.7
442,0.7
443,0.7
444,0.7
445,0.7
446,0.7
447,0.7
448,0.7
449,0.7
450,0.7
451,0.7
452,0.7
453,0.7
454,0.7
455,0.7
456,0.7
457,0.7
458,0.7
459,0.7
460,0.7
461,0.7
462,0.7
463,0.7
464,0.7
465,0.7
466,0.7
467,0.7
468,0.7
469,0.7
470,0.7
471,0.7
472,0.7
473,0.7
474,0.7
475,0.7
476,0.7
477,0.7
478,0.7
479,0.7
480,0.7
481,0.7
482,0.7
483,0.7
484,0.7
485,0.7
486,0.7
487,0.7
488,0.7
489,0.7
490,0.7
491,0.7
492,0.7
493,0.7
494,0.7
495,0.7
496,0.7
497,0.7
498,0.7
499,0.7
500,0.7
501,0.7
502,0.7
503,0.7
504,0.7
505,0.7
506,0.7
507,0.7
508,0.7
509,0.7
510,0.7
511,0.7
512,0.7
513,0.7
514,0.7
515,0.7
516,0.7
517,0.7
518,0.7
519,0.7
520,0.7
521,0.7
522,0.7
523,0.7
524,0.7
525,0.7
526,0.7
527,0.7
528,0.7
529,0.7
530,0.7
531,0.7
532,0.7
533,0.7
534,0.7
535,0.7
536,0.7
537,0.7
538,0.7
539,0.7
540,0.7
541,0.7
542,0.7
543,0.7
544,0.7
545,0.7
546,0.7
547,0.7
548,0.7
549,0.7
550,0.7
551,0.7
552,0.7
553,0.7
554,0.7
555,0.7
556,0.7
557,0.7
558,0.7
559,0.7
560,0.7
561,0.7
562,0.7
563,0.7
564,0.7
565,0.7
566,0.7
567,0.7
568,0.7
569,0.7
570,0.7
571,0.7
572,0.7
573,0.7
574,0.7
575,0.7
576,0.7
577,0.7
578,0.7
579,0.7
580,0.7
581,0.7
582,0.7
583,0.7
584,0.7
585,0.7
586,0.7
587,0.7
588,0.7
589,0.7
590,0.7
591,0.7
592,0.7
593,0.7
594,0.7
595,0.7
596,0.7
597,0.7
598,0.7
599,0.7
600,0.7
601,0.7
602,0.7
603,0.7
604,0.7
605,0.7
606,0.7
607,0.7
608,0.7
609,0.7
610,0.7
611,0.7
612,0.7
613,0.7
614,0.7
615,0.7
616,0.7
617,0.7
618,0.7
619,0.7
620,0.7
621,0.7
622,0.7
623,0.7
624,0.7
625,0.7
626,0.7
627,0.7
628,0.7
629,0.7
630,0.7
631,0.7
632,0.7
633,0.7
634,0.7
635,0.7
636,0.7
637,0.7
638,0.7
639,0.7
640,0.7
641,0.7
642,0.7
643,0.7
644,0.7
645,0.7
646,0.7
647,0.7
648,0.7
649,0.7
650,0.7
651,0.7
652,0.7
653,0.7
654,0.7
655,0.7
656,0.7
657,0.7
658,0.7
659,0.7
660,0.7
661,0.7
662,0.7
663,0.7
664,0.7
665,0.7
666,0.7
667,0.7
668,0.7
669,0.7
670,0.7
671,0.7
672,0.7
673,0.7
674,0.7
675,0.7
676,0.7
677,0.7
678,0.7
679,0.7
680,0.7
681,0.7
682,0.7
683,0.7
684,0.7
685,0.7
686,0.7
687,0.7
688,0.7
689,0.7
690,0.7
691,0.7
692,0.7
693,0.7
694,0.7
695,0.7
696,0.7
697,0.7
698,0.7
699,0.7
700,0.7
701,0.7
702,0.7
703,0.7
704,0.7
705,0.7
706,0.7
707,0.7
708,0.7
709,0.7
710,0.7
711,0.7
