wavelengths,flambda
300,2.47853e-15
301,2.819400000000001e-15
302,2.6932000000000005e-15
303,3.367180000000001e-15
304,3.2520200000000003e-15
305,3.4016900000000007e-15
306,3.1250800000000007e-15
307,3.5791900000000005e-15
308,3.7146500000000005e-15
309,3.2976800000000004e-15
310,3.18412e-15
311,4.0504700000000005e-15
312,3.4578700000000007e-15
313,3.92387e-15
314,3.626750000000001e-15
315,3.2969000000000004e-15
316,3.3091200000000004e-15
317,3.8343800000000006e-15
318,3.4631100000000004e-15
319,3.394740000000001e-15
320,4.342920000000001e-15
321,3.957030000000002e-15
322,3.6569800000000005e-15
323,3.3575200000000006e-15
324,3.71337e-15
325,3.9467800000000006e-15
326,4.8078600000000016e-15
327,5.0889600000000006e-15
328,4.6052700000000016e-15
329,4.8862200000000015e-15
330,5.4602300000000016e-15
331,4.8642300000000006e-15
332,4.892290000000001e-15
333,4.863010000000001e-15
334,4.866730000000001e-15
335,5.1440500000000004e-15
336,4.637190000000001e-15
337,4.39565e-15
338,4.746760000000001e-15
339,4.863040000000001e-15
340,5.486050000000001e-15
341,5.038820000000001e-15
342,5.0424800000000014e-15
343,5.342390000000001e-15
344,4.36515e-15
345,4.710810000000001e-15
346,4.8345100000000005e-15
347,4.877220000000001e-15
348,4.6991100000000015e-15
349,4.715150000000001e-15
350,5.387690000000001e-15
351,5.187600000000001e-15
352,5.0188999999999996e-15
353,5.2596300000000014e-15
354,5.9004200000000005e-15
355,5.854160000000002e-15
356,5.459050000000001e-15
357,4.558160000000001e-15
358,4.126710000000001e-15
359,4.736210000000001e-15
360,5.713840000000001e-15
361,4.8777e-15
362,5.090280000000002e-15
363,5.550750000000001e-15
364,5.715810000000002e-15
365,5.670490000000001e-15
366,6.871290000000002e-15
367,6.601080000000002e-15
368,6.125980000000001e-15
369,6.311520000000001e-15
370,6.7092500000000015e-15
371,6.265820000000001e-15
372,5.750340000000001e-15
373,5.5291300000000016e-15
374,5.124470000000001e-15
375,5.158270000000001e-15
376,5.927010000000002e-15
377,6.453430000000001e-15
378,7.683650000000002e-15
379,6.394620000000001e-15
380,6.24126e-15
381,6.829910000000001e-15
382,5.0642000000000005e-15
383,3.905960000000001e-15
384,4.534370000000001e-15
385,6.190590000000001e-15
386,5.5590400000000005e-15
387,5.895770000000001e-15
388,5.7196900000000005e-15
389,5.872700000000001e-15
390,6.672370000000001e-15
391,7.311810000000002e-15
392,6.456220000000001e-15
393,3.3839900000000004e-15
394,4.6280900000000014e-15
395,7.076060000000001e-15
396,5.861140000000001e-15
397,3.705920000000001e-15
398,7.653950000000001e-15
399,8.815340000000002e-15
400,9.056300000000002e-15
401,9.354710000000002e-15
402,9.684350000000002e-15
403,9.313910000000001e-15
404,9.546680000000002e-15
405,9.257310000000001e-15
406,8.883460000000001e-15
407,9.031870000000001e-15
408,9.305570000000001e-15
409,9.975110000000002e-15
410,8.386860000000002e-15
411,9.701220000000002e-15
412,1.0021050000000001e-14
413,9.517400000000001e-15
414,9.842270000000002e-15
415,9.7226e-15
416,9.939260000000004e-15
417,9.583560000000003e-15
418,9.408420000000002e-15
419,9.467380000000001e-15
420,9.128580000000003e-15
421,1.0012940000000002e-14
422,9.534520000000003e-15
423,8.96658e-15
424,9.424730000000003e-15
425,9.098640000000002e-15
426,9.15789e-15
427,8.648650000000001e-15
428,9.026950000000002e-15
429,8.454030000000001e-15
430,6.961200000000001e-15
431,6.940930000000002e-15
432,9.720030000000003e-15
433,9.659110000000002e-15
434,8.537880000000002e-15
435,9.606300000000001e-15
436,1.0166440000000003e-14
437,1.0032290000000002e-14
438,9.238840000000001e-15
439,9.311710000000002e-15
440,9.8281e-15
441,1.0192910000000002e-14
442,1.0640960000000002e-14
443,1.0625120000000003e-14
444,1.0627160000000003e-14
445,1.0741720000000001e-14
446,1.0073190000000001e-14
447,1.0919180000000002e-14
448,1.1020470000000002e-14
449,1.1004510000000003e-14
450,1.1418880000000001e-14
451,1.1689230000000002e-14
452,1.1190320000000003e-14
453,1.0233430000000003e-14
454,1.1061310000000003e-14
455,1.0715620000000004e-14
456,1.1313850000000002e-14
457,1.1367220000000002e-14
458,1.1031500000000003e-14
459,1.1064760000000004e-14
460,1.0951980000000003e-14
461,1.1300480000000003e-14
462,1.1374950000000003e-14
463,1.1337970000000001e-14
464,1.1018110000000003e-14
465,1.0784930000000003e-14
466,1.1183070000000002e-14
467,1.0628960000000002e-14
468,1.0918880000000002e-14
469,1.0997310000000002e-14
470,1.0580250000000003e-14
471,1.0683300000000002e-14
472,1.1297260000000002e-14
473,1.0752390000000002e-14
474,1.1083350000000003e-14
475,1.1204500000000001e-14
476,1.0923360000000003e-14
477,1.1049870000000002e-14
478,1.1351620000000002e-14
479,1.1094540000000001e-14
480,1.1307730000000001e-14
481,1.1128260000000006e-14
482,1.1320310000000002e-14
483,1.1087410000000002e-14
484,1.0905080000000002e-14
485,1.0772410000000001e-14
486,8.710570000000001e-15
487,9.939450000000001e-15
488,1.0718470000000002e-14
489,1.0345670000000002e-14
490,1.1149310000000001e-14
491,1.0840560000000003e-14
492,1.0024700000000002e-14
493,1.0974590000000003e-14
494,1.0663430000000001e-14
495,1.1158140000000003e-14
496,1.0678140000000002e-14
497,1.0924700000000003e-14
498,1.0399570000000002e-14
