wavelengths,flambda
300.0,1.04512468445055e-12
301.0,1.03648334074245e-12
302.0,1.0433562030486001e-12
303.0,1.0390264378794e-12
304.0,1.0353453291909e-12
305.0,1.00878038774325e-12
306.0,9.914145133329e-13
307.0,1.01908883922885e-12
308.0,1.0017445193433e-12
309.0,1.0041808542246002e-12
310.0,1.0224489875715e-12
311.0,1.01105573726745e-12
312.0,1.00215910715625e-12
313.0,1.02112978329585e-12
314.0,1.0374287087286e-12
315.0,1.07779864973175e-12
316.0,9.8508792351465e-13
317.0,9.8994577454145e-13
318.0,9.8288868840615e-13
319.0,9.6892876570365e-13
320.0,9.567848117155499e-13
321.0,1.0010271578148e-12
322.0,9.504619265812501e-13
323.0,9.796689812641501e-13
324.0,1.01285284577265e-12
325.0,9.798208733061002e-13
326.0,9.97543407744e-13
327.0,1.0029933346239e-12
328.0,9.326764125162e-13
329.0,9.1880169754455e-13
330.0,9.325999613110501e-13
331.0,9.556491576901501e-13
332.0,9.3591464307795e-13
333.0,9.4656190475025e-13
334.0,9.424587988809e-13
335.0,9.424567781442001e-13
336.0,9.387160577230501e-13
337.0,9.2381245098165e-13
338.0,9.3959171029305e-13
339.0,9.148636185056999e-13
340.0,9.122157798498e-13
341.0,9.0506675019465e-13
342.0,9.330071397561e-13
343.0,8.915968561419e-13
344.0,9.000004264983e-13
345.0,8.795243015171999e-13
346.0,8.834842718703001e-13
347.0,8.702002855939499e-13
348.0,8.82031362183e-13
349.0,8.6404916307915e-13
350.0,8.6512082710905e-13
351.0,8.302112534587501e-13
352.0,8.3173522572e-13
353.0,8.306554787433001e-13
354.0,8.369669130363e-13
355.0,8.1555956522595e-13
356.0,8.1457344571635e-13
357.0,8.248172336275501e-13
358.0,7.9745005971e-13
359.0,8.0373421405755e-13
360.0,7.941249374701501e-13
361.0,7.703769029823001e-13
362.0,7.4408543456805e-13
363.0,7.981458667137001e-13
364.0,7.36646092407e-13
365.0,7.5416688996435e-13
366.0,7.710902230374e-13
367.0,7.4894193843705e-13
368.0,7.576779199806001e-13
369.0,7.6919645596005e-13
370.0,7.7597063895735e-13
371.0,8.112274425306e-13
372.0,8.247333730545e-13
373.0,8.5082546211435e-13
374.0,9.2271855884805e-13
375.0,7.820574346872e-13
376.0,9.4632143708295e-13
377.0,8.098277455764e-13
378.0,1.00691794208475e-12
379.0,9.6965690449455e-13
380.0,8.680320351148501e-13
381.0,1.01309129270325e-12
382.0,9.721272551103e-13
383.0,8.7031277327025e-13
384.0,8.999637164482499e-13
385.0,9.821029586193e-13
386.0,9.579241704249e-13
387.0,9.251511890454e-13
388.0,9.0996771027105e-13
389.0,7.448630814081e-13
390.0,9.621832098096e-13
391.0,9.460806326262e-13
392.0,9.03451171203e-13
393.0,8.494065681614999e-13
394.0,9.1260005661225e-13
395.0,9.2670412519935e-13
396.0,8.6854597581555e-13
397.0,6.7667096394045e-13
398.0,8.585025776271001e-13
399.0,8.648540898646501e-13
400.0,8.543752229173501e-13
401.0,8.248687624134001e-13
402.0,8.312933579616e-13
403.0,8.040093710382e-13
404.0,8.2976399706915e-13
405.0,8.2980441180315e-13
406.0,8.1615164107905e-13
407.0,8.010570747195e-13
408.0,7.876824920811001e-13
409.0,7.758103271791501e-13
410.0,6.091328915847e-13
411.0,7.51383998739e-13
412.0,7.463924423005501e-13
413.0,7.389456907715999e-13
414.0,7.2955229622165e-13
415.0,7.525748862342e-13
416.0,7.499102081058e-13
417.0,7.373829877236e-13
418.0,7.2356350622175e-13
419.0,7.307293753494e-13
420.0,7.302666266451001e-13
421.0,7.1991472932045e-13
422.0,7.045214307187499e-13
423.0,6.969315436735499e-13
424.0,7.021649149371e-13
425.0,7.0318302944445e-13
426.0,6.911232728188501e-13
427.0,6.7127896484595e-13
428.0,6.8117181815025e-13
429.0,6.851833172892001e-13
430.0,6.893201021035501e-13
431.0,6.8121762151545e-13
432.0,6.741211310145e-13
433.0,6.552861810232501e-13
434.0,5.184530057511e-13
435.0,6.306577789131e-13
436.0,6.587817187248e-13
437.0,6.590925753871501e-13
438.0,6.4713587633325e-13
439.0,6.208740453906e-13
440.0,6.4605276146205e-13
441.0,6.363764637741e-13
442.0,5.981471565151501e-13
443.0,5.571100356115501e-13
444.0,5.8804818806745e-13
445.0,6.115604699403e-13
446.0,6.1229904920415e-13
447.0,5.7127809419415e-13
448.0,5.818967287632e-13
449.0,6.0345293751045e-13
450.0,6.060182627511e-13
451.0,6.0876141282135e-13
452.0,6.016362952171499e-13
453.0,5.8560174950265e-13
454.0,5.9156224918875e-13
455.0,5.7604231775385e-13
456.0,5.8625916250905e-13
457.0,5.84188244181e-13
458.0,5.792239676880001e-13
459.0,5.80968537039e-13
460.0,5.7802331329875e-13
461.0,5.747864298948e-13
462.0,5.7016534185135e-13
463.0,5.65813011789e-13
464.0,5.660070025122e-13
465.0,5.646167356626e-13
466.0,5.697190958301e-13
467.0,5.6341742843115e-13
468.0,5.712649594056e-13
469.0,5.6120202742905e-13
470.0,5.5559111519205e-13
471.0,5.448054330558001e-13
