wavelength,transmission
300,4.9099400000000005e-06
301,0.0
302,1.142318e-05
303,1.196959e-05
304,5.49952e-06
305,1.697524e-05
306,1.6905300000000001e-06
307,1.6339779999999998e-05
308,5.88e-07
309,2.90353e-06
310,1.0291409999999998e-05
311,4.08217e-06
312,1.011543e-05
313,0.0
314,6.39018e-06
315,1.0222129999999999e-05
316,1.38187e-06
317,8.73499e-06
318,1.636818e-05
319,1.4504069999999999e-05
320,1.260886e-05
321,0.0
322,1.83299e-06
323,1.327536e-05
324,6.26605e-06
325,7.06194e-06
326,7.81346e-06
327,2.015785e-05
328,1.257888e-05
329,1.272287e-05
330,1.2667889999999999e-05
331,1.261225e-05
332,1.4546540000000002e-05
333,5.29501e-06
334,2.276752e-05
335,0.0
336,1.0943509999999998e-05
337,1.6447309999999998e-05
338,6.95237e-06
339,1.197524e-05
340,7.29405e-06
341,3.58232e-06
342,2.016141e-05
343,1.958851e-05
344,1.027004e-05
345,1.5891539999999998e-05
346,1.528668e-05
347,0.0
348,2.2886579999999997e-05
349,1.65953e-05
350,1.190931e-05
351,1.189998e-05
352,1.136442e-05
353,1.959546e-05
354,1.811136e-05
355,1.335922e-05
356,1.3342969999999999e-05
357,1.544407e-05
358,2.439077e-05
359,2.317364e-05
360,1.548149e-05
361,9.44031e-06
362,2.236901e-05
363,2.325911e-05
364,1.552573e-05
365,1.689855e-05
366,6.83448e-06
367,3.39572e-06
368,6.40472e-06
369,1.767187e-05
370,3.94927e-06
371,2.1689360000000003e-05
372,2.671853e-05
373,4.5614979999999995e-05
374,0.00013112923000000001
375,0.00044999443
376,0.0014592723599999998
377,0.00452859193
378,0.01248730302
379,0.02973155975
380,0.06235129356
381,0.1144234085
382,0.18343267440000002
383,0.2631748962
384,0.3463758087
385,0.4245031738
386,0.49202983860000005
387,0.5471771240000001
388,0.5917395401000001
389,0.6259383011
390,0.6532846832
391,0.6744042969
392,0.6912932587
393,0.7046337891000001
394,0.716275177
395,0.7250675201
396,0.733254776
397,0.7402620697000001
398,0.746452713
399,0.7521887970000001
400,0.7571470642
401,0.761701889
402,0.7654750824
403,0.7692060089
404,0.772651062
405,0.7759502411
406,0.7786886597
407,0.7811906433
408,0.7834107971000001
409,0.7853395081
410,0.7872149657999999
411,0.7887051392
412,0.7900022887999999
413,0.7910342407000001
414,0.7920077515
415,0.7928269196
416,0.7935735321
417,0.7945341492
418,0.7954438019
419,0.7964757538
420,0.7966840363
421,0.7969796753
422,0.7968493651999999
423,0.7967707061999999
424,0.7957125091999999
425,0.7950920105
426,0.7943753052
427,0.7933563232
428,0.7924263763
429,0.7913903809
430,0.790398941
431,0.7891230011
432,0.7877523041000001
433,0.7861769103999999
434,0.7846363831
435,0.7826279449000001
436,0.7805911255
437,0.7787546539
438,0.7770388794
439,0.7753175353999999
440,0.7735636139000001
441,0.7714750671
442,0.7692568970000001
443,0.7665423584
444,0.763751297
445,0.7605338287
446,0.7573027039
447,0.7535453796
448,0.7496017456
449,0.7452497864000001
450,0.7407641601999999
451,0.736526413
452,0.7321029663
453,0.7278461455999999
454,0.7235832214
455,0.7191506957999999
456,0.7144125366
457,0.7091161346
458,0.7033210754
459,0.6969960785000001
460,0.6903887939000001
461,0.6832331085
462,0.6755648804000001
463,0.6674669647
464,0.6585409546
465,0.6488441467
466,0.6381478882
467,0.6266930771
468,0.6144313812
469,0.6014781189
470,0.5878376389000001
471,0.5741687012
472,0.5599865341
473,0.5457733154000001
474,0.5313516235
475,0.5164573288
476,0.5016150665
477,0.4863081741
478,0.4710332108
479,0.4556961441
480,0.4397419739
481,0.4238645554
482,0.40802799219999997
