wavelength,transmission
300,4.28589e-06
301,7.270000000000001e-07
302,2.82781e-06
303,6.32968e-06
304,0.0
305,2.00558e-06
306,5.362970000000001e-06
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,5.76185e-06
313,0.0
314,2.0466e-06
315,0.0
316,2.64614e-06
317,1.065482e-05
318,7.54e-07
319,0.0
320,8.849170000000001e-06
321,2.2916000000000002e-06
322,0.0
323,2.77113e-06
324,0.0
325,0.0
326,0.0
327,1.1390630000000001e-05
328,4.23262e-06
329,0.0
330,0.0
331,1.134e-06
332,0.0
333,4.07451e-06
334,0.0
335,2.9147899999999998e-06
336,0.0
337,0.0
338,1.267507e-05
339,0.0
340,4.26017e-06
341,0.0
342,2.3094399999999997e-06
343,0.0
344,0.0
345,0.0
346,3.98904e-06
347,8.38272e-06
348,0.0
349,0.0
350,0.0
351,4.30287e-06
352,0.0
353,2.0999e-06
354,5.92121e-06
355,1.062644e-05
356,2.94521e-06
357,1.206761e-05
358,1.339689e-05
359,0.0
360,0.0
361,0.0
362,0.0
363,1.200261e-05
364,0.0
365,9.42119e-06
366,7.522190000000001e-06
367,0.0
368,8.53456e-06
369,2.876557e-05
370,0.0
371,7.720000000000001e-07
372,0.0
373,0.0
374,0.0
375,6.63332e-06
376,0.0
377,0.0
378,2.404075e-05
379,0.0
380,0.0
381,1.082717e-05
382,0.0
383,6.87834e-06
384,2.44149e-06
385,1.650091e-05
386,0.0
387,0.0
388,6.131720000000001e-06
389,1.5129799999999998e-06
390,0.0
391,0.0
392,4.59641e-06
393,6.17536e-06
394,6.67702e-06
395,0.0
396,0.0
397,1.9043599999999999e-06
398,0.0
399,0.0
400,1.813275e-05
401,5.404020000000001e-06
402,0.0
403,0.0
404,0.0
405,0.0
406,8.9164e-06
407,0.0
408,0.0
409,8.19453e-06
410,0.0
411,0.0
412,0.0
413,1.321237e-05
414,0.0
415,4.24315e-06
416,7.4648e-06
417,2.7703100000000002e-06
418,1.2485689999999999e-05
419,0.0
420,0.0
421,1.547168e-05
422,4.03248e-06
423,5.34764e-06
424,0.0
425,4.73536e-06
426,1.916436e-05
427,2.94344e-06
428,6.84058e-06
429,0.0
430,0.0
431,7.4713899999999995e-06
432,0.0
433,6.34653e-06
434,0.0
435,1.52993e-06
436,0.0
437,1.21247e-06
438,8.519019999999999e-06
439,0.0
440,2.8146500000000002e-06
441,5.94224e-06
442,7.52452e-06
443,0.0
444,4.45e-07
445,6.32959e-06
446,1.069163e-05
447,1.201313e-05
448,1.2651859999999999e-05
449,0.0
450,3.03226e-06
451,6.80988e-06
452,1.7025e-06
453,1.4242709999999999e-05
454,2.56938e-06
455,0.0
456,0.0
457,0.0
458,0.0
459,8.58243e-06
460,1.45821e-06
461,3.24084e-06
462,0.0
463,6.26e-07
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,3.8907e-06
470,0.0
471,0.0
472,0.0
473,0.0
474,5.55422e-06
475,1.143243e-05
476,0.0
477,2.03295e-06
478,2.80318e-06
479,0.0
480,1.4533499999999998e-06
481,0.0
482,1.3519e-05
483,0.0
484,1.581312e-05
485,0.0
486,1.08e-09
487,0.0
488,0.0
489,0.0
490,4.66455e-06
491,0.0
492,1.585037e-05
493,0.0
494,0.0
495,6.292859999999999e-06
496,0.0
497,1.3666399999999998e-05
498,1.148257e-05
499,7.84494e-06
500,2.03966e-06
501,0.0
502,1.58815e-05
503,8.64118e-06
504,2.14966e-06
505,9.39097e-06
506,2.093554e-05
507,1.085422e-05
508,1.3738109999999999e-05
509,8.71732e-06
510,2.235263e-05
511,1.804629e-05
512,3.307743e-05
513,2.090801e-05
514,2.8767639999999998e-05
515,1.5192059999999999e-05
516,1.234031e-05
517,3.444896e-05
518,2.16138e-05
519,2.873145e-05
520,3.3007739999999995e-05
521,2.944848e-05
522,1.591399e-05
523,2.0897939999999998e-05
524,3.087305e-05
525,3.371919e-05
526,3.5150720000000004e-05
527,5.084066e-05
528,4.5868389999999995e-05
529,8.155693e-05
530,7.949885000000001e-05
531,8.314351e-05
532,0.00011399922999999999
533,0.00015071833999999999
534,0.00016892474
535,0.00022898280999999999
536,0.00029007696
537,0.00036960698999999997
538,0.00048665412
539,0.00067224726
540,0.0008793672900000001
541,0.00120258078
542,0.00161203221
543,0.0022050184
544,0.0029720524
545,0.00402524889
546,0.0054288739
547,0.007267189029999999
548,0.009747279880000001
549,0.01293524623
550,0.01706304073
551,0.022358591560000002
552,0.02904413462
553,0.03738025904
554,0.04766122818
555,0.06007618904
556,0.07489642619999999
557,0.09232580185
558,0.1124153137
559,0.13574181559999998
560,0.16165252689999998
561,0.1900156403
562,0.2211615944
563,0.2550657463
564,0.2900615311
565,0.32623435970000003
566,0.3641630173
567,0.40212989810000005
568,0.4387369537
569,0.47594181059999996
570,0.5097922516
571,0.5432490158000001
572,0.5746903229
573,0.6039918518
574,0.6313598633
575,0.6564186096
576,0.6789602661
577,0.6991790770999999
578,0.7174619293000001
579,0.7334972381999999
580,0.7478157043
581,0.7603323364000001
582,0.7709326172000001
583,0.7806031036000001
584,0.7884142303
585,0.7951274872
586,0.8008254241999999
587,0.8058981323000001
588,0.8097647858000001
589,0.8129089355000001
590,0.8153478241000001
591,0.8169754791
592,0.8182134247
593,0.8191542053
594,0.8192611694
595,0.8195018005
596,0.819198761
597,0.8182957458
598,0.8173604584
599,0.8159781647
600,0.8147905731
601,0.8133335876
602,0.8114715576
603,0.8092240906000001
604,0.8074497986
605,0.8049958038
606,0.8025907135
607,0.7999421691999999
608,0.7975567627
609,0.7946527863
610,0.7917319489000001
611,0.7888967133
612,0.7857640076
613,0.782405014
614,0.7792937469000001
615,0.7759609222
616,0.7726163483
617,0.7690136719
618,0.7654134369000001
619,0.7617784881999999
620,0.7579759979
621,0.7541682434000001
622,0.7501544189
623,0.7464862060999999
624,0.7423802184999999
625,0.7383980560000001
626,0.7341822815000001
627,0.7302371216
628,0.7260812378
629,0.7216812134
630,0.7174119568
631,0.7129589844
632,0.7085635376
633,0.7042154694
634,0.6997299956999999
635,0.695294342
636,0.6908799743999999
637,0.6864337157999999
638,0.6818025969999999
639,0.6771125793
640,0.6726707458
641,0.6679827881
642,0.6634375763
643,0.6586396027000001
644,0.6540797424
645,0.6492672729
646,0.6444278717
647,0.6396414566
648,0.6348202896
649,0.6299859238
650,0.6250484466999999
651,0.6203138733
652,0.6155244827
653,0.6104286957
654,0.6056146622
655,0.6007561110999999
656,0.5957906723
657,0.5911544418
658,0.5861563873
659,0.5812862396
660,0.5764058304
661,0.5715373611
662,0.566361351
663,0.5613951111
664,0.5564930344
665,0.5515139770999999
666,0.5465501403999999
667,0.5415691757
668,0.5365568924
669,0.5315185164999999
670,0.5263829041
671,0.5214332199
672,0.5163314438
673,0.5112384415
674,0.5058325958000001
675,0.5007619095
676,0.4954104614
677,0.4900761032
678,0.4846328354
679,0.4793523407
680,0.47384574890000003
681,0.46834899900000004
682,0.462923584
683,0.4575318909
684,0.4520233536
685,0.44637756349999996
686,0.4409214783
687,0.4355319595
688,0.4300679779
689,0.4245966339
690,0.4192084122
691,0.41372913359999997
692,0.4082403946
693,0.40271686549999997
694,0.39730583189999996
695,0.39197219850000004
696,0.3866024399
697,0.3811877441
698,0.375933342
699,0.3707518768
700,0.3655055237
701,0.36020984650000004
702,0.3550396347
703,0.3498455429
704,0.3447249603
705,0.33957660679999996
706,0.3344722366
707,0.32951797489999995
708,0.3245484924
709,0.3195403481
710,0.3147098351
711,0.3099447823
712,0.30501886370000003
713,0.3001971626
714,0.29551065439999996
715,0.2907637596
716,0.2861512566
717,0.2813087082
718,0.276910038
719,0.27228603360000003
720,0.2678689575
721,0.263301754
722,0.2589850426
723,0.2546568489
724,0.2502902985
725,0.24598186489999999
726,0.2416856766
727,0.237460537
728,0.2333279228
729,0.2290930748
730,0.2251129532
731,0.2211213303
732,0.21707277300000002
733,0.2131085587
734,0.2091628456
735,0.2053005981
736,0.20143514629999998
737,0.1975452805
738,0.19388797759999998
739,0.19006492609999998
740,0.1863807297
741,0.1828031158
742,0.1790969467
743,0.175661602
744,0.1721018219
745,0.1687119675
746,0.1652858925
747,0.1618872833
748,0.1584822655
749,0.15518562319999998
750,0.151918354
751,0.14875658989999999
752,0.1455235481
753,0.14238762859999998
754,0.1393303871
755,0.13628805160000002
756,0.1332648087
757,0.1303202057
758,0.1273612499
759,0.1245641041
760,0.1216876221
761,0.1188848495
762,0.1161260796
763,0.1134821129
764,0.1107942963
765,0.1081669521
766,0.1056355762
767,0.1031607437
768,0.10073272709999999
769,0.09822717666999999
770,0.09586526871
771,0.09352499962
772,0.09121102333
773,0.08896583557
774,0.08673642159
775,0.08463427544
776,0.08246926308000001
777,0.08033233643000001
778,0.07830749989
779,0.07632407665
780,0.07432169437
781,0.07241755009
782,0.07051271915
783,0.06872023582
784,0.06685559273
785,0.06509381294
786,0.06340753078
787,0.06172382832
788,0.06006325245
789,0.058446311949999996
790,0.05686319351
791,0.05529330254
792,0.05381349087
793,0.052291450499999996
794,0.05085306168
795,0.0494959259
796,0.04810995102
797,0.046762304309999995
798,0.0454411602
799,0.04415102482
800,0.042893285749999996
801,0.04166172981
802,0.04048723698
803,0.039315826889999995
804,0.03819405556
805,0.03707906246
806,0.03601291656
807,0.03494179726
808,0.03394706249
809,0.032941789629999996
810,0.03199449539
811,0.03101713181
812,0.030101301669999997
813,0.029217121599999996
814,0.02836801052
815,0.027503111360000002
816,0.026625635619999997
817,0.02586022854
818,0.025050601960000002
819,0.024293150899999998
820,0.02355578661
821,0.022854409219999997
822,0.02209285021
823,0.02144993544
824,0.02078814268
825,0.020133311749999997
826,0.01951212287
827,0.01888120532
828,0.01828208923
829,0.01775238872
830,0.01714938283
831,0.01662393093
832,0.01613011956
833,0.015563952919999999
834,0.0150622046
835,0.01459298849
836,0.01416508079
837,0.0136856544
838,0.01323938012
839,0.012807707790000001
840,0.01235815644
841,0.0119754231
842,0.011620378490000001
843,0.011193481679999999
844,0.01087891936
845,0.01049699545
846,0.0101678288
847,0.00976187706
848,0.00947583258
849,0.00915217042
850,0.008863928909999999
851,0.00857972741
852,0.008263003829999999
853,0.008044843670000001
854,0.00772081792
855,0.0075097543
856,0.00726727366
857,0.00695864618
858,0.00674193084
859,0.00648523986
860,0.00633621216
861,0.006073610189999999
862,0.005909467339999999
863,0.00570013881
864,0.00544631243
865,0.00529010117
866,0.00509566367
867,0.0049596104
868,0.00479871392
869,0.00462582618
870,0.00447733015
871,0.0042328211700000005
872,0.00413392484
873,0.00397796452
874,0.00391568929
875,0.0036851987200000004
876,0.0035627663100000003
877,0.00355125815
878,0.00338001221
879,0.0032706415700000002
880,0.0032203567
881,0.00297435224
882,0.00291478783
883,0.0029204031800000004
884,0.00262776732
885,0.00268565834
886,0.00244682536
887,0.00248597398
888,0.00236184686
889,0.00226687804
890,0.00221451119
891,0.00212491229
892,0.00206997708
893,0.00193516359
894,0.00194626987
895,0.00187038705
896,0.00173004791
897,0.0017309597099999998
898,0.00158144742
899,0.0016644467399999998
900,0.00150336251
901,0.00141257763
902,0.00135797024
903,0.00135981634
904,0.00126094028
905,0.00118972629
906,0.00119732462
907,0.0011050982
908,0.00110674053
909,0.001051744
910,0.0010510628700000002
911,0.00098807752
912,0.00092800185
913,0.00091190673
914,0.00086871624
915,0.00085939378
916,0.00085175812
917,0.0007443848999999999
918,0.0008028361200000001
919,0.00071261168
920,0.0007145875699999999
921,0.00064553022
922,0.0006900521399999999
923,0.00063966982
924,0.00060880039
925,0.0005704449100000001
926,0.00052821543
927,0.00055086993
928,0.00051496889
929,0.00049853127
930,0.00049570959
931,0.00044332106
932,0.00046812996000000003
933,0.00040864669
934,0.00039903644
935,0.00044764254000000006
936,0.0003503314
937,0.00037873954
938,0.00031055406
939,0.00033856909999999997
940,0.00033728328000000004
941,0.00028845411
942,0.00034205385
943,0.00029946288
944,0.00028869873
945,0.00023645718
946,0.00027327167
947,0.00021578964
948,0.00022577152
949,0.00024291232
950,0.00024246201
951,0.00019439675
952,0.00017199157
953,0.0001630697
954,0.00018558891
955,0.00015756302
956,0.00014685851
957,0.00015870527999999997
958,0.0001153648
959,0.00013342577
960,0.00013472671
961,0.00014595726
962,0.00011369999
963,0.00014724003
964,0.00011369183
965,0.00012332604
966,8.535644999999999e-05
967,8.112164999999999e-05
968,6.681918e-05
969,6.518492e-05
970,9.702142000000001e-05
971,6.881985e-05
972,9.198565e-05
973,4.748306e-05
974,6.703092e-05
975,5.807925e-05
976,2.5319829999999996e-05
977,4.07949e-05
978,3.830649e-05
979,3.069493e-05
980,1.701127e-05
981,3.179208e-05
982,4.360104e-05
983,3.865225e-05
984,6.612840000000001e-06
985,6.364479999999999e-05
986,1.625006e-05
987,6.65e-07
988,5.605558e-05
989,0.0
990,6.52805e-06
991,1.48678e-06
992,6.5216e-06
993,0.0
994,1.904708e-05
995,0.0
996,1.655143e-05
997,0.0
998,6.54483e-06
999,1.471073e-05
1000,0.0
1001,1.050894e-05
1002,0.0
1003,0.0
1004,2.2544950000000002e-05
1005,0.0
1006,4.59133e-06
1007,0.0
1008,5e-07
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,0.0
1092,0.0
1093,0.0
1094,0.0
1095,0.0
1096,0.0
1097,0.0
1098,0.0
1099,0.0
1100,0.0
