wavelength,transmission
300,6.835110000000001e-06
301,0.0
302,0.0
303,1.93907e-06
304,0.0
305,3.2508e-06
306,0.0
307,8.51e-07
308,0.0
309,2.91928e-06
310,0.0
311,0.0
312,7.63038e-06
313,4.99e-07
314,1.42318e-06
315,0.0
316,0.0
317,6.19627e-06
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,5.64491e-06
325,0.0
326,0.0
327,1.29e-07
328,9.371559999999999e-06
329,0.0
330,1.5161700000000001e-05
331,0.0
332,1.27e-07
333,2.2252099999999997e-06
334,2.4600000000000002e-08
335,1.3252540000000002e-05
336,1.034209e-05
337,0.0
338,1.14057e-05
339,1.0033520000000001e-05
340,1.095373e-05
341,1.583893e-05
342,1.153851e-05
343,2.020344e-05
344,1.588137e-05
345,7.12948e-06
346,1.591455e-05
347,2.159334e-05
348,1.404967e-05
349,0.0
350,9.167799999999999e-06
351,1.674446e-05
352,1.737691e-05
353,2.8686480000000003e-05
354,2.352613e-05
355,1.6784199999999998e-05
356,1.750842e-05
357,1.2066209999999999e-05
358,1.888671e-05
359,2.1761189999999997e-05
360,5.8914e-06
361,1.4149290000000001e-05
362,1.481588e-05
363,1.621808e-05
364,2.5193120000000002e-05
365,2.708458e-05
366,3.0923399999999996e-05
367,9.84664e-06
368,2.2605619999999997e-05
369,1.211895e-05
370,2.379894e-05
371,2.505155e-05
372,5.23425e-06
373,3.0597939999999997e-05
374,2.056204e-05
375,1.426442e-05
376,2.8673790000000002e-05
377,2.784679e-05
378,3.23982e-05
379,1.786042e-05
380,3.62951e-05
381,2.623922e-05
382,2.334676e-05
383,1.575222e-05
384,1.1554969999999998e-05
385,1.938803e-05
386,1.151924e-05
387,2.7739040000000003e-05
388,1.581756e-05
389,1.787621e-05
390,2.457048e-05
391,3.232681e-05
392,1.7278899999999998e-05
393,2.281491e-05
394,1.589715e-05
395,2.1724700000000002e-05
396,2.521103e-05
397,3.768993e-05
398,3.248938e-05
399,2.5500309999999998e-05
400,3.037577e-05
401,2.445782e-05
402,2.014586e-05
403,3.067336e-05
404,2.391542e-05
405,2.937608e-05
406,1.747092e-05
407,1.9678489999999997e-05
408,3.305248e-05
409,2.325325e-05
410,1.827291e-05
411,1.752109e-05
412,2.760369e-05
413,4.08703e-05
414,2.676959e-05
415,3.475113e-05
416,2.12251e-05
417,1.686948e-05
418,2.060307e-05
419,2.624745e-05
420,1.982475e-05
421,2.502241e-05
422,1.97927e-05
423,2.130388e-05
424,2.505456e-05
425,1.98368e-05
426,1.770695e-05
427,2.809373e-05
428,2.787156e-05
429,2.1253650000000003e-05
430,1.3291049999999999e-05
431,2.951681e-05
432,9.06927e-06
433,1.843986e-05
434,3.433074e-05
435,3.25999e-05
436,1.997766e-05
437,2.9297e-05
